id,name,urlname,link,rating,created,description,organiserName,organiserMemberId
285698,"Houston Art & Museum Events","hamemg","http://www.meetup.com/hamemg/",4.68,1153169987000,"<p><span><em><strong> <br></strong></em></span></p>
<p><span><em><strong><a href=""http://arts-culture.meetup.com"">#3 ARTS &amp; CULTURE MEETUP GROUP WORLDWIDE</a></strong></em></span></p>
<p><span><em><strong><a href=""http://arts.meetup.com"">#4 ARTS &amp; ENTERTAINMENT MEETUP GROUP WORLDWIDE</a></strong></em></span></p>
<p><span><em>* * * * * * *</em></span></p>
<p><em><img width=""256"" height=""179"" src=""http://photos2.meetupstatic.com/photos/event/6/7/4/event_83941652.jpeg""></em></p>
<p><em><span>* * * * * * *</span></em></p>
<p><em><span>Our social group is for people who wish to experience&nbsp;the art and culture that&nbsp;Houston provides.&nbsp; We&nbsp;enjoy an art-related group event several times&nbsp;a month.</span></em> <em><span>We participate in a variety of activities from&nbsp;attending art festivals to viewing museum exhibits.</span></em></p>
<p><em><span>Every event will have specific details.&nbsp; Event&nbsp;descriptions will provide all necessary information&nbsp;such as&nbsp;the meet and greet location as well as&nbsp;any ticket price if applicable.</span></em></p>
<p><em><span>Please contact the Organizer with any questions.</span></em></p>
<p><em><span>* * * * * * *</span></em></p>
<p><em><span>“To practice any art, no matter how well or badly, is a way to make your soul grow. So do it.” <br>―&nbsp;<a href=""http://www.goodreads.com/author/show/2778055.Kurt_Vonnegut"">Kurt Vonnegut</a>,&nbsp;<a href=""http://www.goodreads.com/work/quotes/1119459"">A Man Without a Country</a></span></em></p>","Kathleen Craig, CTA",10949225
10167172,"Houston Denver Broncos Fans Meetup Group","Houston-Denver-Broncos-Fans-Meetup-Group","http://www.meetup.com/Houston-Denver-Broncos-Fans-Meetup-Group/",4.74,1378688867000,"<p><strong>This group is for like minded die-hard Denver Broncos Fans living, breathing, working, or visiting in the Houston Metro area.</strong></p>
<p><strong>The purpose of this group is to create an active social network of Broncos fans for watching party meetups, experiencing the thrill and excitement of a Broncos victory, while celebrating the agony of defeat of the opposing team, with plenty of trash talk in between.</strong></p>
<p><strong>Details on meetup events are announced as they are scheduled and may included a change in venue location from week to week during the season and as event logistics are considered.<br>

</strong></p>
<p><strong>You can also join us on Facebook under groups:</strong></p>
<p><em><strong>""Houston's Denver Broncos Fans""</strong></em></p>
<p><em><strong>You can follow us on Twitter @BroncosFansHou<br>

</strong></em></p>","Jim",5155810
20451804,"Diabetes Free Houston 2017 Meetup","Diabetes-Free-Houston-2017-Meetup","http://www.meetup.com/Diabetes-Free-Houston-2017-Meetup/",0,1474484102000,"<p>There is a lot of info out there about managing and reversing diabetes without drugs but it's NOT WORKING! The numbers of people with diabetes is GROWING EACH DAY. Something has to be done! So we're doing it! We're starting in our area and we need caring, loving, like minded people to join us in this movement to REALLY CREATE CHANGE. Please share this with those you know with diabetes, their families and others you think would like join forces and make a positive difference in our future.</p>","Shelda Keith-Magistri",98596262
14176522,"Houston Big Data Science","Houston-Big-Data-Science","http://www.meetup.com/Houston-Big-Data-Science/",0,1398789391000,"This meetup is about sharing knowledge &amp; learning the latest developments about statistics, machine learning, math, analytics, parallel algorithms, distributed systems.","Max Schloemer",135890012
224524,"NetSquared Houston","Net2Houston","http://www.meetup.com/Net2Houston/",4.71,1140298019000,"<p>Social changemakers and technological forerunners come together at Net Tuesday events to mix, swap stories and ideas, build new relationships, and reinforce the online NetSquared (<a href=""http://www.netsquared.org"" class=""linkified"">http://www.netsquared.org</a>) community.</p>","NetSquared",37748782
18938766,"Houston 20's Christian Friends","Houston-20s-Christian-Friends","http://www.meetup.com/Houston-20s-Christian-Friends/",5,1442435103000,"<p>You should join this group if: <br>-You want to hang out with wholesome friends (even if you are not a Christian) <br>-You're looking for a fun group who doesn't get swhasted all day everyday <br>-There are restaurants, movies, board games and more that you want to try/see but don't know anyone in Houston <br>-You're in your 20's and are looking for new friends who are also in their 20's <br>-You're alive (so now you HAVE to join this group)&nbsp;</p>
<p> <br></p>
<p>In all realness if you want to meet cool, hip, groovy kids your age you should join! Maybe you feel lonely, you're new to the city or at a point in life where you want a fresh start and to meet new people. Whatever the case is, if you are looking for QUALITY friends, join us!</p>
<p>Please contact me with any meet up ideas!</p>","Lauren",38325052
18313743,"Woodlands Technical Writers Guild","Woodlands-Technical-Writers-Guild","http://www.meetup.com/Woodlands-Technical-Writers-Guild/",0,1420741153000,"The Woodlands Technical Writers Guild is for anyone interested in technical writing, close reading, scientific expression, data visualization and statistical analysis. We will constantly develop our supportive, trusted critique environment as a safe place to relate to one another as professionals. The aim is to be able to discuss each other’s writing but not feel threatened on any level. The purpose of the WTWG is to push our technical skills toward the maximum by the magical phenomenon of strength in numbers.","Andrew W. J. Toler",156335482
13635472,"Houston Texans Fans Meetup Group","Houston-Texans-Fans-Meetup-Group","http://www.meetup.com/Houston-Texans-Fans-Meetup-Group/",4.29,1396221052000,"<p>This group is for like minded die-hard Houston Texans Fans living, breathing, working, or visiting in the Houston Metro area or anywhere else in the USA. Texans Fans from right here at home in Houston, Texas or abroad are ALWAYS welcome!</p>
<p>The purpose of this group is to create an active social network of Houston Texans Fans for game watching party meetups at select local establishments whether playing at home or away, experiencing the thrill and excitement of a Texans victory, while celebrating the agony of defeat for the opposing team, with plenty of trash talk in between! There's watching a game and there's watching a game with your fellow Texans Fans!</p>
<p>Make sure you follow us on our Meetup.Com page, as our game viewing locations may change from week to week, based on availability and logistics.</p>
<p>If you plan on attending one of our meetups, please be sure to RSVP to be included and eligible for some of the perks and giveaways. This will help us adequately plan for the event.  GO TEXANS!!!!<br>

</p>","Jim",5155810
3447832,"Network After Work - Houston Networking Events","NetworkAfterWork-Houston-Networking-Event","http://www.meetup.com/NetworkAfterWork-Houston-Networking-Event/",4.6,1331318523000,"<p>Network After Work is America’s premier face-to-face business networking company with monthly mixer events in over 60 cities catering to nearly one million members.&nbsp;</p>
<p>Attendees make valuable connections with other members of their business community while enjoying different exciting venues including clubs, restaurants, hotels, and special event locations. Network After Work launched in 2009 and has become the largest and fastest growing organization of its kind.&nbsp;</p>
<p>Each event attracts a diverse mix of up to several hundred professionals from all industries and career levels. It all takes place on a weekday right after work in a fun and relaxed atmosphere conducive to making connections.</p>
<p><span>Visit us at:</span></p>
<p><span><a href=""http://houston.networkafterwork.com"">http://houston.networkafterwork.com</a></span></p>","James Miller",41024442
10824082,"Houston Data Visualization Meetup","Houston-Data-Visualization-Meetup","http://www.meetup.com/Houston-Data-Visualization-Meetup/",4.91,1382618658000,"<p>This group is a place to share experiences with data visualization. Come talk about the software tools you use and the interactive graphics that inspire you.</p>","Neeraj Tandon",8180309
20367763,"Houston MBA Network","Houston-MBA-Grads","http://www.meetup.com/Houston-MBA-Grads/",0,1472509778000,"<p>Houston-area group for MBA graduates. <br>When we graduate from the program, the classes come to an end... but the learning never stops. The goal of this group is to be a forum for that learning (and holding each other accountable)...</p>
<p>Activities may include getting together for discussing new industry trends, case discussions and for general networking. Join the group and share your ideas!</p>","Dhruv Khattar",2881830
