groupId,name,id,urlkey
285698,"New In Town",1273,"newintown"
285698,"Opera",2812,"opera"
285698,"Social Networking",4422,"socialnetwork"
285698,"Museum",7319,"museum"
285698,"Arts & Entertainment",10574,"arts"
285698,"Music",15018,"music"
285698,"Film",15029,"film"
285698,"Contemporary Art",16270,"contemporary-art"
285698,"Fine Arts",16389,"fine-arts"
285698,"Symphony",18238,"symphony"
285698,"Theater",23274,"live-theatre"
285698,"Houston",25706,"houston"
285698,"Zoo",82626,"zoo"
285698,"Arts & Culture",154787,"arts-culture"
285698,"Natural Science",155548,"natural-science"
10167172,"NFL Football",57,"nflfootball"
10167172,"Denver Broncos",59,"broncos"
10167172,"Sports Fan",83,"sportsfans"
10167172,"Soccer",947,"soccer"
10167172,"Denver",16439,"denver"
10167172,"Sports and Socials",17555,"sports-and-socials"
10167172,"All sports fans",19323,"all-sports-fans"
10167172,"Houston",25706,"houston"
10167172,"Broncos Football",370521,"broncos-football"
10167172,"Denver Broncos Meet up",513332,"denver-broncos-meet-up"
10167172,"Meet up Denver Bronco games",513342,"meet-up-denver-bronco-games"
20451804,"Weight Loss",240,"weightloss"
20451804,"Juvenile Diabetes",1399,"juvdiabetes"
20451804,"Diabetes",1482,"diabetes"
20451804,"Wellness",10306,"wellness"
20451804,"Alternative Medicine",17150,"alternative-medicine"
20451804,"Healthy Living",20221,"healthy-living"
20451804,"Insulin Dependent",22414,"insulin-dependent"
20451804,"Houston",25706,"houston"
20451804,"Type 1 Diabetic Adults",32017,"type-1-diabetic-adults"
20451804,"Support for People with Diabetes",33456,"support-for-people-with-diabetes"
20451804,"Having Fun with Diabetes",35113,"having-fun-with-diabetes"
20451804,"Diabetes: Type 1 & 2",45635,"diabetes-type-1-and-2"
20451804,"Type 1 diabetes",56368,"type-1-diabetes"
20451804,"Type I Diabetes",71560,"type-i-diabetes"
20451804,"Type II Diabetes",90705,"type-ii-diabetes"
14176522,"Open Source",563,"opensource"
14176522,"Hadoop",18060,"hadoop"
14176522,"Big Data",18062,"big-data"
14176522,"High Scalability Computing",24410,"high-scalability-computing"
14176522,"MapReduce",27591,"mapreduce"
14176522,"Machine Learning",29971,"machine-learning"
14176522,"Data Analytics",30928,"data-analytics"
14176522,"Predictive Analytics",38458,"predictive-analytics"
14176522,"Data Mining",55324,"data-mining"
14176522,"Data Science",102811,"data-science"
14176522,"Big Data Analytics",383411,"big-data-analytics"
14176522,"To promote R for big data analytics",672792,"to-promote-r-for-big-data-analytics"
224524,"Nonprofit",1726,"nonprofit"
224524,"Education & Technology",7203,"edtech"
224524,"Web Technology",10209,"web"
224524,"NetSquared",10312,"netsquared"
224524,"Entrepreneur Networking",20060,"business-entrepreneur-networking"
224524,"Houston",25706,"houston"
224524,"Social Entrepreneurship",26643,"social-entrepreneurship"
224524,"Geeks & Nerds",32623,"geeks-nerds"
224524,"Open Source Content Management",37062,"open-source-content-management"
224524,"Nonprofit Technology",59903,"nonprofit-technology"
224524,"Event Planning & Fundraising",77233,"event-planning-fundraising"
224524,"Socially Responsible Business",78007,"socially-responsible-business"
224524,"Startup Nonprofits",97266,"startup-nonprofits"
224524,"Technology Startups",108403,"technology-startups"
224524,"Online Fundraising",117277,"online-fundraising"
18938766,"Watching Movies",1201,"movies"
18938766,"Bible Study",2353,"biblestudy"
18938766,"Social Networking",4422,"socialnetwork"
18938766,"Christian Social",10187,"christiansocial"
18938766,"Spirituality",10290,"spirituality"
18938766,"Social",10581,"social"
18938766,"20s",15326,"20s"
18938766,"Adventure",15892,"adventure"
18938766,"20's Social",17925,"20s-social"
18938766,"Christian",17963,"christian"
18938766,"Board Games",19585,"board-games"
18938766,"Exploring New Restaurants",20704,"exploring-new-restaurants"
18938766,"Houston",25706,"houston"
18938766,"Game Night",40126,"game-night"
18938766,"Sugar Land",153196,"sugar-land"
18313743,"Technical Writers",7860,"techwriter"
18313743,"Data Management",10494,"datamanagement"
18313743,"Business Intelligence",10538,"businessintell"
18313743,"Big Data",18062,"big-data"
18313743,"Data Analytics",30928,"data-analytics"
18313743,"Data Visualization",37381,"data-visualization"
18313743,"Predictive Analytics",38458,"predictive-analytics"
18313743,"Technical Writing",54668,"technical-writing"
18313743,"Data Mining",55324,"data-mining"
18313743,"Data Science",102811,"data-science"
18313743,"Applied Statistics",115913,"applied-statistics"
18313743,"Big Data Analytics",383411,"big-data-analytics"
18313743,"Technical communicators",656602,"technical-communicators"
18313743,"Technical Documentation Editing",1325492,"technical-documentation-editing"
13635472,"NFL Football",57,"nflfootball"
13635472,"Soccer",947,"soccer"
13635472,"National Football League",24808,"national-football-league"
13635472,"Texans",24903,"texans"
13635472,"Houston",25706,"houston"
13635472,"Houston Singles Events",30595,"houston-singles-events"
13635472,"American Football",37335,"american-football"
13635472,"NFL Sunday",43636,"nfl-sunday"
13635472,"Houston Texans",81619,"houston-texans"
13635472,"NFL Football Fans",411202,"nfl-football-fans"
13635472,"GAMEDAY",1322462,"gameday"
3447832,"Small Business",389,"smallbiz"
3447832,"New In Town",1273,"newintown"
3447832,"Nightlife",4392,"nightlife"
3447832,"Social Networking",4422,"socialnetwork"
3447832,"Social",10581,"social"
3447832,"Business Referral Networking",15405,"business-referral-networking"
3447832,"Professional Networking",15720,"professional-networking"
3447832,"Happy Hour",16800,"happy-hours"
3447832,"Business Strategy",17635,"business-strategy"
3447832,"Houston",25706,"houston"
10824082,"Business Intelligence",10538,"businessintell"
10824082,"Mapping",10842,"mapping"
10824082,"Visual Communication",16224,"visual-communication"
10824082,"Cartography",18252,"cartography"
10824082,"Visualization",18987,"visualization"
10824082,"Houston",25706,"houston"
10824082,"Data Analytics",30928,"data-analytics"
10824082,"Data Visualization",37381,"data-visualization"
10824082,"Predictive Analytics",38458,"predictive-analytics"
10824082,"Data Mining",55324,"data-mining"
10824082,"Data Science",102811,"data-science"
10824082,"Data Journalism",118765,"data-journalism"
10824082,"Maps",131188,"maps"
10824082,"Tableau",168154,"tableau"
10824082,"d3.js",921262,"d3-js"
20367763,"Business",10575,"business"
20367763,"Professional Networking",15720,"professional-networking"
20367763,"MBA Schools and Programs",16641,"mba-schools-and-programs"
20367763,"Business Strategy",17635,"business-strategy"
20367763,"Houston",25706,"houston"
20367763,"MBAs",51367,"mbas"
20367763,"MBA Networking",112930,"mba-networking"
20367763,"Business Network",160195,"business-network"
20367763,"Maximizing My MBA",1506259,"maximizing-my-mba"
1117294,"Dining Out",713,"diningout"
1117294,"New In Town",1273,"newintown"
1117294,"Couples",3250,"couples"
1117294,"Nightlife",4392,"nightlife"
1117294,"Social Networking",4422,"socialnetwork"
1117294,"Social",10581,"social"
1117294,"Fun Times",15117,"fun-times"
1117294,"Houston",25706,"houston"
20880407,"Soccer",947,"soccer"
20880407,"Social Networking",4422,"socialnetwork"
20880407,"Women's Social",10232,"women"
20880407,"Men's Social",10261,"men"
20880407,"Outdoors",15046,"outdoors"
20880407,"Fun Times",15117,"fun-times"
